SPECIES,Stock,Series,Year,Value,TableSource
Chinook,Alsek River,Alsek River - Escapement,1976,5282,E.7
Chinook,Alsek River,Alsek River - Escapement,1977,12706,E.7
Chinook,Alsek River,Alsek River - Escapement,1978,12034,E.7
Chinook,Alsek River,Alsek River - Escapement,1979,17354,E.7
Chinook,Alsek River,Alsek River - Escapement,1980,10718,E.7
Chinook,Alsek River,Alsek River - Escapement,1981,8587,E.7
Chinook,Alsek River,Alsek River - Escapement,1982,9584,E.7
Chinook,Alsek River,Alsek River - Escapement,1983,10344,E.7
Chinook,Alsek River,Alsek River - Escapement,1984,7213,E.7
Chinook,Alsek River,Alsek River - Escapement,1985,6087,E.7
Chinook,Alsek River,Alsek River - Escapement,1986,11069,E.7
Chinook,Alsek River,Alsek River - Escapement,1987,11276,E.7
Chinook,Alsek River,Alsek River - Escapement,1988,8852,E.7
Chinook,Alsek River,Alsek River - Escapement,1989,10178,E.7
Chinook,Alsek River,Alsek River - Escapement,1990,8775,E.7
Chinook,Alsek River,Alsek River - Escapement,1991,11667,E.7
Chinook,Alsek River,Alsek River - Escapement,1992,5773,E.7
Chinook,Alsek River,Alsek River - Escapement,1993,13917,E.7
Chinook,Alsek River,Alsek River - Escapement,1994,15970,E.7
Chinook,Alsek River,Alsek River - Escapement,1995,24772,E.7
Chinook,Alsek River,Alsek River - Escapement,1996,15922,E.7
Chinook,Alsek River,Alsek River - Escapement,1997,12494,E.7
Chinook,Alsek River,Alsek River - Escapement,1998,6833,E.7
Chinook,Alsek River,Alsek River - Escapement,1999,14615,E.7
Chinook,Alsek River,Alsek River - Escapement,2000,7905,E.7
Chinook,Alsek River,Alsek River - Escapement,2001,6705,E.7
Chinook,Alsek River,Alsek River - Escapement,2002,5569,E.7
Chinook,Alsek River,Alsek River - Escapement,2003,5904,E.7
Chinook,Alsek River,Alsek River - Escapement,2004,7083,E.7
Chinook,Alsek River,Alsek River - Escapement,2005,4390,E.7
Chinook,Alsek River,Alsek River - Escapement,2006,2321,E.7
Chinook,Alsek River,Alsek River - Escapement,2007,2827,E.7
Chinook,Alsek River,Alsek River - Escapement,2008,1885,E.7
Chinook,Alsek River,Alsek River - Escapement,2009,6239,E.7
Chinook,Alsek River,Alsek River - Escapement,2010,9526,E.7
Chinook,Alsek River,Alsek River - Escapement,2011,6850,E.7
Chinook,Alsek River,Alsek River - Escapement,2012,3027,E.7
Chinook,Alsek River,Alsek River - Escapement,2013,4992,E.7
Chinook,Alsek River,Alsek River - Escapement,2014,3357,E.7
Chinook,Alsek River,Alsek River - Escapement,2015,5697,E.7
Chinook,Alsek River,Alsek River - Escapement,2016,2514,E.7
Chinook,Alsek River,Alsek River - Escapement,2017,1741,E.7
Chinook,Alsek River,Alsek River - Escapement,2018,4348,E.7
Chinook,Alsek River,Alsek River - Escapement,2019,6319,E.7
Chinook,Alsek River,Alsek River - Escapement,2020,5330,E.7
Chinook,Alsek River,Alsek River - Escapement,2021,5562,E.7
Chinook,Alsek River,Alsek River - Escapement,2022,3750,E.7
Chinook,Alsek River,Alsek River - Escapement,2023,4234,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1976,350,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1977,650,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1978,650,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1979,1950,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1980,350,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1981,465,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1982,624,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1983,612,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1984,575,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1985,425,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1986,267,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1987,492,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1988,292,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1989,506,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1990,757,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1991,897,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1992,251,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1993,323,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1994,486,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1995,1624,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1996,1098,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1997,530,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1998,346,E.7
Chinook,Alsek River,Alsek River - Canada harvest,1999,412,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2000,142,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2001,277,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2002,317,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2003,228,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2004,185,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2005,114,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2006,19,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2007,41,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2008,7,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2009,125,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2010,294,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2011,214,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2012,85,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2013,72,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2014,43,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2015,131,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2016,90,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2017,51,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2018,0,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2019,37,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2020,22,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2021,42,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2022,14,E.7
Chinook,Alsek River,Alsek River - Canada harvest,2023,22,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1976,525,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1977,1420,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1978,2441,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1979,2605,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1980,1439,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1981,811,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1982,619,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1983,125,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1984,60,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1985,229,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1986,503,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1987,374,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1988,236,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1989,248,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1990,163,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1991,141,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1992,316,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1993,338,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1994,865,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1995,721,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1996,832,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1997,606,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1998,613,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,1999,526,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,2000,750,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,2001,560,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,2002,760,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,2003,961,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,2004,707,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,2005,740,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,2006,712,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,2007,826,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,2008,627,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,2009,1080,E.7
Chinook,Alsek River,Alsek River - Harvest Dry Bay,2010,343,E.7
