SPECIES,Stock,Series,Year,Value,TableSource
Coho,Alsek River,Klukshu Weir Counts,1976,"1,572",E.15
Coho,Alsek River,Klukshu Weir Counts,1977,"2,758",E.15
Coho,Alsek River,Klukshu Weir Counts,1978,30,E.15
Coho,Alsek River,Klukshu Weir Counts,1979,175,E.15
Coho,Alsek River,Klukshu Weir Counts,1980,704,E.15
Coho,Alsek River,Klukshu Weir Counts,1981,"1,170",E.15
Coho,Alsek River,Klukshu Weir Counts,1982,189,E.15
Coho,Alsek River,Klukshu Weir Counts,1983,303,E.15
Coho,Alsek River,Klukshu Weir Counts,1984,"1,402",E.15
Coho,Alsek River,Klukshu Weir Counts,1985,350,E.15
Coho,Alsek River,Klukshu Weir Counts,1986,71,E.15
Coho,Alsek River,Klukshu Weir Counts,1987,202,E.15
Coho,Alsek River,Klukshu Weir Counts,1988,"2,774",E.15
Coho,Alsek River,Klukshu Weir Counts,1989,"2,219",E.15
Coho,Alsek River,Klukshu Weir Counts,1990,315,E.15
Coho,Alsek River,Klukshu Weir Counts,1991,"8,540",E.15
Coho,Alsek River,Klukshu Weir Counts,1992,"1,145",E.15
Coho,Alsek River,Klukshu Weir Counts,1993,788,E.15
Coho,Alsek River,Klukshu Weir Counts,1994,"1,232",E.15
Coho,Alsek River,Klukshu Weir Counts,1995,"3,614",E.15
Coho,Alsek River,Klukshu Weir Counts,1996,"3,465",E.15
Coho,Alsek River,Klukshu Weir Counts,1997,307,E.15
Coho,Alsek River,Klukshu Weir Counts,1998,"1,961",E.15
Coho,Alsek River,Klukshu Weir Counts,1999,"2,531",E.15
Coho,Alsek River,Klukshu Weir Counts,2000,"4,832",E.15
Coho,Alsek River,Klukshu Weir Counts,2001,748,E.15
Coho,Alsek River,Klukshu Weir Counts,2002,"9,921",E.15
Coho,Alsek River,Klukshu Weir Counts,2003,"3,689",E.15
Coho,Alsek River,Klukshu Weir Counts,2004,750,E.15
Coho,Alsek River,Klukshu Weir Counts,2005,683,E.15
Coho,Alsek River,Klukshu Weir Counts,2006,420,E.15
Coho,Alsek River,Klukshu Weir Counts,2007,300,E.15
