SPECIES,Stock,Series,Year,Value,TableSource
Sockeye,Alsek River,Klukshu - Escapement,1976,"7,941",E.10
Sockeye,Alsek River,Klukshu - Escapement,1977,"15,441",E.10
Sockeye,Alsek River,Klukshu - Escapement,1978,"19,017",E.10
Sockeye,Alsek River,Klukshu - Escapement,1979,"7,051",E.10
Sockeye,Alsek River,Klukshu - Escapement,1980,"10,850",E.10
Sockeye,Alsek River,Klukshu - Escapement,1981,"18,448",E.10
Sockeye,Alsek River,Klukshu - Escapement,1982,"28,899",E.10
Sockeye,Alsek River,Klukshu - Escapement,1983,"18,017",E.10
Sockeye,Alsek River,Klukshu - Escapement,1984,"10,227",E.10
Sockeye,Alsek River,Klukshu - Escapement,1985,"17,259",E.10
Sockeye,Alsek River,Klukshu - Escapement,1986,"22,936",E.10
Sockeye,Alsek River,Klukshu - Escapement,1987,"9,346",E.10
Sockeye,Alsek River,Klukshu - Escapement,1988,"7,737",E.10
Sockeye,Alsek River,Klukshu - Escapement,1989,"21,636",E.10
Sockeye,Alsek River,Klukshu - Escapement,1990,"24,607",E.10
Sockeye,Alsek River,Klukshu - Escapement,1991,"17,645",E.10
Sockeye,Alsek River,Klukshu - Escapement,1992,"18,269",E.10
Sockeye,Alsek River,Klukshu - Escapement,1993,"14,921",E.10
Sockeye,Alsek River,Klukshu - Escapement,1994,"13,892",E.10
Sockeye,Alsek River,Klukshu - Escapement,1995,"19,817",E.10
Sockeye,Alsek River,Klukshu - Escapement,1996,"7,891",E.10
Sockeye,Alsek River,Klukshu - Escapement,1997,"11,303",E.10
Sockeye,Alsek River,Klukshu - Escapement,1998,"13,580",E.10
Sockeye,Alsek River,Klukshu - Escapement,1999,"5,101",E.10
Sockeye,Alsek River,Klukshu - Escapement,2000,"5,422",E.10
Sockeye,Alsek River,Klukshu - Escapement,2001,"9,329",E.10
Sockeye,Alsek River,Klukshu - Escapement,2002,"23,587",E.10
Sockeye,Alsek River,Klukshu - Escapement,2003,"32,120",E.10
Sockeye,Alsek River,Klukshu - Escapement,2004,"13,721",E.10
Sockeye,Alsek River,Klukshu - Escapement,2005,"3,167",E.10
Sockeye,Alsek River,Klukshu - Escapement,2006,"12,890",E.10
Sockeye,Alsek River,Klukshu - Escapement,2007,"8,310",E.10
Sockeye,Alsek River,Klukshu - Escapement,2008,"2,741",E.10
Sockeye,Alsek River,Klukshu - Escapement,2009,"5,528",E.10
Sockeye,Alsek River,Klukshu - Escapement,2010,"18,546",E.10
Sockeye,Alsek River,Klukshu - Escapement,2011,"20,782",E.10
Sockeye,Alsek River,Klukshu - Escapement,2012,"17,176",E.10
Sockeye,Alsek River,Klukshu - Escapement,2013,"3,792",E.10
Sockeye,Alsek River,Klukshu - Escapement,2014,"12,148",E.10
Sockeye,Alsek River,Klukshu - Escapement,2015,"11,363",E.10
Sockeye,Alsek River,Klukshu - Escapement,2016,"7,391",E.10
Sockeye,Alsek River,Klukshu - Escapement,2017,"3,711",E.10
Sockeye,Alsek River,Klukshu - Escapement,2018,"7,143",E.10
Sockeye,Alsek River,Klukshu - Escapement,2019,"18,749",E.10
Sockeye,Alsek River,Klukshu - Escapement,2020,"4,287",E.10
Sockeye,Alsek River,Klukshu - Escapement,2021,"25,691",E.10
Sockeye,Alsek River,Klukshu - Escapement,2022,"29,629",E.10
Sockeye,Alsek River,Klukshu - Escapement,2023,"13,690",E.10
Sockeye,Alsek River,Klukshu - Escapement,2024,"10,047",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1976,"3,750",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1977,"11,350",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1978,"7,850",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1979,"5,260",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1980,900,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1981,"1,900",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1982,"4,800",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1983,"2,475",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1984,"2,500",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1985,"1,361",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1986,"1,914",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1987,"1,158",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1988,"1,604",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1989,"1,906",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1990,"1,388",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1991,"1,332",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1992,"1,498",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1993,"1,819",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1994,"1,146",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1995,879,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1996,429,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1997,193,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1998,11,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1999,280,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2000,129,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2001,961,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2002,"2,124",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2003,"2,242",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2004,"1,627",E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2005,206,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2006,565,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2007,646,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2008,0,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2009,128,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2010,323,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2011,358,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2012,304,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2013,101,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2014,226,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2015,215,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2016,156,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2017,101,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2018,0,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2019,324,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2020,109,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2021,756,E.10
