SPECIES,Stock,Series,Year,Value,TableSource
Coho,Stikine River,Sum of escapement indices,1984,517,B.30
Coho,Stikine River,Sum of escapement indices,1985,"3,870",B.30
Coho,Stikine River,Sum of escapement indices,1988,584,B.30
Coho,Stikine River,Sum of escapement indices,1989,"4,044",B.30
Coho,Stikine River,Sum of escapement indices,1990,"3,040",B.30
Coho,Stikine River,Sum of escapement indices,1991,"2,956",B.30
Coho,Stikine River,Sum of escapement indices,1992,"3,688",B.30
Coho,Stikine River,Sum of escapement indices,1993,NA,B.30
Coho,Stikine River,Sum of escapement indices,1994,"3,725",B.30
Coho,Stikine River,Sum of escapement indices,1995,"3,752",B.30
Coho,Stikine River,Sum of escapement indices,1996,"3,245",B.30
Coho,Stikine River,Sum of escapement indices,1997,"1,057",B.30
Coho,Stikine River,Sum of escapement indices,1998,"1,093",B.30
Coho,Stikine River,Sum of escapement indices,1999,"3,872",B.30
Coho,Stikine River,Sum of escapement indices,2000,306,B.30
Coho,Stikine River,Sum of escapement indices,2001,"7,405",B.30
Coho,Stikine River,Sum of escapement indices,2002,"12,646",B.30
Coho,Stikine River,Sum of escapement indices,2003,,B.30
Coho,Stikine River,Sum of escapement indices,2004,"3,000",B.30
Coho,Stikine River,Sum of escapement indices,2005,"3,199",B.30
Coho,Stikine River,Sum of escapement indices,2006,"2,213",B.30
Coho,Stikine River,Sum of escapement indices,2007,"1,557",B.30
Coho,Stikine River,Sum of escapement indices,2008,"1,147",B.30
Coho,Stikine River,Sum of escapement indices,2009,"2,275",B.30
Coho,Stikine River,Sum of escapement indices,2010,"1,751",B.30
Coho,Stikine River,Sum of escapement indices,2011,"2,542",B.30
Coho,Stikine River,Sum of escapement indices,2012,NA,B.30
Coho,Stikine River,Sum of escapement indices,2013,"1,640",B.30
Coho,Stikine River,Sum of escapement indices,2014,"1,195",B.30
Coho,Stikine River,Sum of escapement indices,2015,"1,181",B.30
Coho,Stikine River,Sum of escapement indices,2016,292,B.30
Coho,Stikine River,Sum of escapement indices,2017,"1,656",B.30
Coho,Stikine River,Sum of escapement indices,2018,"1,994",B.30
Coho,Stikine River,Sum of escapement indices,2019,398,B.30
Coho,Stikine River,Sum of escapement indices,2020,199,B.30
Coho,Stikine River,Sum of escapement indices,2021,"2,456",B.30
Coho,Stikine River,Sum of escapement indices,2022,"1,308",B.30
Coho,Stikine River,Sum of escapement indices,2023,"6,869",B.30
Coho,Stikine River,Sum of escapement indices,2024,"2,261",B.30
Coho,Stikine River,West Katete River Aerial Index,1984,147,B.30
Coho,Stikine River,West Katete River Aerial Index,1985,590,B.30
Coho,Stikine River,West Katete River Aerial Index,1988,32,B.30
Coho,Stikine River,West Katete River Aerial Index,1989,336,B.30
Coho,Stikine River,West Katete River Aerial Index,1990,94,B.30
Coho,Stikine River,West Katete River Aerial Index,1991,302,B.30
Coho,Stikine River,West Katete River Aerial Index,1992,295,B.30
Coho,Stikine River,West Katete River Aerial Index,1993,NA,B.30
Coho,Stikine River,West Katete River Aerial Index,1994,28,B.30
Coho,Stikine River,West Katete River Aerial Index,1995,211,B.30
Coho,Stikine River,West Katete River Aerial Index,1996,163,B.30
Coho,Stikine River,West Katete River Aerial Index,1997,2,B.30
Coho,Stikine River,West Katete River Aerial Index,1998,14,B.30
