SPECIES,Stock,Series,Year,Value,TableSource,Method
Chinook,Taku River,Spawning Escapement,1989,40329,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,1990,52142,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,1991,51645,D.7,Aerial expansion
Chinook,Taku River,Spawning Escapement,1992,55889,D.7,Aerial expansion
Chinook,Taku River,Spawning Escapement,1993,66125,D.7,Aerial expansion
Chinook,Taku River,Spawning Escapement,1994,48368,D.7,Aerial expansion
Chinook,Taku River,Spawning Escapement,1995,33805,D.7,Medium expansion
Chinook,Taku River,Spawning Escapement,1996,79019,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,1997,114938,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,1998,31039,D.7,Aerial expansion
Chinook,Taku River,Spawning Escapement,1999,16786,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2000,34997,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2001,46644,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2002,55044,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2003,36435,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2004,75032,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2005,38599,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2006,42191,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2007,14749,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2008,26645,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2009,22761,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2010,28769,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2011,19672,D.7,Aerial expansion
Chinook,Taku River,Spawning Escapement,2012,16713,D.7,Aerial expansion
Chinook,Taku River,Spawning Escapement,2013,18002,D.7,Aerial expansion
Chinook,Taku River,Spawning Escapement,2014,23532,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2015,23567,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2016,9177,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2017,8214,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2018,7271,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2019,11558,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2020,15593,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2021,11341,D.7,Aerial expansion
Chinook,Taku River,Spawning Escapement,2022,12722,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2023,14755,D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement - Lower,1989,29263,D.7,
Chinook,Taku River,Spawning Escapement - Lower,1990,33863,D.7,
Chinook,Taku River,Spawning Escapement - Lower,1991,17072,D.7,
Chinook,Taku River,Spawning Escapement - Lower,1992,18475,D.7,
Chinook,Taku River,Spawning Escapement - Lower,1993,21858,D.7,
Chinook,Taku River,Spawning Escapement - Lower,1994,15989,D.7,
Chinook,Taku River,Spawning Escapement - Lower,1995,23887,D.7,
Chinook,Taku River,Spawning Escapement - Lower,1996,61285,D.7,
Chinook,Taku River,Spawning Escapement - Lower,1997,79878,D.7,
Chinook,Taku River,Spawning Escapement - Lower,1998,10255,D.7,
Chinook,Taku River,Spawning Escapement - Lower,1999,10571,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2000,24407,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2001,33383,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2002,33313,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2003,23293,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2004,54883,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2005,28980,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2006,31343,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2007,8326,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2008,20744,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2009,17134,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2010,23840,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2011,12938,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2012,10992,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2013,4500,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2014,19187,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2015,20512,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2016,8114,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2017,6679,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2018,5745,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2019,8802,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2020,9617,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2021,2834,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2022,6726,D.7,
Chinook,Taku River,Spawning Escapement - Lower,2023,10975,D.7,
Chinook,Taku River,Spawning Escapement - Upper,1989,51395,D.7,
Chinook,Taku River,Spawning Escapement - Upper,1990,70421,D.7,
Chinook,Taku River,Spawning Escapement - Upper,1991,86218,D.7,
Chinook,Taku River,Spawning Escapement - Upper,1992,93303,D.7,
Chinook,Taku River,Spawning Escapement - Upper,1993,110392,D.7,
Chinook,Taku River,Spawning Escapement - Upper,1994,80747,D.7,
