SPECIES,Stock,Series,Year,Value,TableSource,Method
Chinook,Taku River,Spawning Escapement,1989,"40,329",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,1990,"52,142",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,1991,"51,645",D.7,Aerial expansion
Chinook,Taku River,Spawning Escapement,1992,"55,889",D.7,Aerial expansion
Chinook,Taku River,Spawning Escapement,1993,"66,125",D.7,Aerial expansion
Chinook,Taku River,Spawning Escapement,1994,"48,368",D.7,Aerial expansion
Chinook,Taku River,Spawning Escapement,1995,"33,805",D.7,Medium expansion
Chinook,Taku River,Spawning Escapement,1996,"79,019",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,1997,"114,938",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,1998,"31,039",D.7,Aerial expansion
Chinook,Taku River,Spawning Escapement,1999,"16,786",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2000,"34,997",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2001,"46,544",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2002,"55,044",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2003,"36,435",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2004,"75,032",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2005,"38,599",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2006,"42,191",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2007,"14,749",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2008,"26,645",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2009,"22,761",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2010,"28,769",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2011,"19,677",D.7,Aerial expansion
Chinook,Taku River,Spawning Escapement,2012,"16,717",D.7,Aerial expansion
Chinook,Taku River,Spawning Escapement,2013,"18,007",D.7,Aerial expansion
Chinook,Taku River,Spawning Escapement,2014,"23,532",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2015,"23,567",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2016,"9,177",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2017,"8,214",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2018,"7,271",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2019,"11,558",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2020,"15,593",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2021,"11,344",D.7,Aerial expansion
Chinook,Taku River,Spawning Escapement,2022,"12,722",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2023,"14,755",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement,2024,"24,518",D.7,Mark-recapture
Chinook,Taku River,Spawning Escapement - Lower,1989,"29,263",D.7,
Chinook,Taku River,Spawning Escapement - Lower,1990,"33,863",D.7,
Chinook,Taku River,Spawning Escapement - Lower,1991,"17,072",D.7,
Chinook,Taku River,Spawning Escapement - Lower,1992,"18,475",D.7,
Chinook,Taku River,Spawning Escapement - Lower,1993,"21,858",D.7,
Chinook,Taku River,Spawning Escapement - Lower,1994,"15,989",D.7,
Chinook,Taku River,Spawning Escapement - Lower,1995,"23,887",D.7,
Chinook,Taku River,Spawning Escapement - Lower,1996,"61,285",D.7,
Chinook,Taku River,Spawning Escapement - Lower,1997,"79,878",D.7,
Chinook,Taku River,Spawning Escapement - Lower,1998,"10,255",D.7,
Chinook,Taku River,Spawning Escapement - Lower,1999,"10,571",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2000,"24,407",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2001,"33,383",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2002,"33,313",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2003,"23,293",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2004,"54,883",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2005,"28,980",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2006,"31,343",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2007,"8,326",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2008,"20,744",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2009,"17,134",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2010,"23,840",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2011,"4,942",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2012,"4,198",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2013,"4,522",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2014,"19,187",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2015,"17,580",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2016,"7,095",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2017,"6,679",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2018,"5,745",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2019,"8,802",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2020,"9,617",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2021,"2,849",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2022,"6,726",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2023,"10,975",D.7,
Chinook,Taku River,Spawning Escapement - Lower,2024,"16,338",D.7,
