SPECIES,Stock,Series,Year,Value,TableSource
Sockeye,Taku River,Border Estimate,1984,88272,D.17
Sockeye,Taku River,Border Estimate,1985,84479,D.17
Sockeye,Taku River,Border Estimate,1986,NA,D.17
Sockeye,Taku River,Border Estimate,1987,56362,D.17
Sockeye,Taku River,Border Estimate,1988,55580,D.17
Sockeye,Taku River,Border Estimate,1989,80997,D.17
Sockeye,Taku River,Border Estimate,1990,75801,D.17
Sockeye,Taku River,Border Estimate,1991,104895,D.17
Sockeye,Taku River,Border Estimate,1992,99643,D.17
Sockeye,Taku River,Border Estimate,1993,92933,D.17
Sockeye,Taku River,Border Estimate,1994,90128,D.17
Sockeye,Taku River,Border Estimate,1995,104242,D.17
Sockeye,Taku River,Border Estimate,1996,97477,D.17
Sockeye,Taku River,Border Estimate,1997,73255,D.17
Sockeye,Taku River,Border Estimate,1998,64755,D.17
Sockeye,Taku River,Border Estimate,1999,83588,D.17
Sockeye,Taku River,Border Estimate,2000,83190,D.17
Sockeye,Taku River,Border Estimate,2001,132502,D.17
Sockeye,Taku River,Border Estimate,2002,94605,D.17
Sockeye,Taku River,Border Estimate,2003,133593,D.17
Sockeye,Taku River,Border Estimate,2004,85257,D.17
Sockeye,Taku River,Border Estimate,2005,87496,D.17
Sockeye,Taku River,Border Estimate,2006,106545,D.17
Sockeye,Taku River,Border Estimate,2007,60320,D.17
Sockeye,Taku River,Border Estimate,2008,78031,D.17
Sockeye,Taku River,Border Estimate,2009,59817,D.17
Sockeye,Taku River,Border Estimate,2010,80747,D.17
Sockeye,Taku River,Border Estimate,2011,82116,D.17
Sockeye,Taku River,Border Estimate,2012,102670,D.17
Sockeye,Taku River,Border Estimate,2013,88535,D.17
Sockeye,Taku River,Border Estimate,2014,68532,D.17
Sockeye,Taku River,Border Estimate,2015,102506,D.17
Sockeye,Taku River,Border Estimate,2016,146294,D.17
Sockeye,Taku River,Border Estimate,2017,91164,D.17
Sockeye,Taku River,Border Estimate,2018,84806,D.17
Sockeye,Taku River,Border Estimate,2019,103152,D.17
Sockeye,Taku River,Border Estimate,2020,112677,D.17
Sockeye,Taku River,Border Estimate,2021,182115,D.17
Sockeye,Taku River,Border Estimate,2022,119883,D.17
Sockeye,Taku River,Border Estimate,2023,120336,D.17
Sockeye,Taku River,Natural Spawning Escapement,1984,60980,D.17
Sockeye,Taku River,Natural Spawning Escapement,1985,70068,D.17
Sockeye,Taku River,Natural Spawning Escapement,1986,NA,D.17
Sockeye,Taku River,Natural Spawning Escapement,1987,42475,D.17
Sockeye,Taku River,Natural Spawning Escapement,1988,42613,D.17
Sockeye,Taku River,Natural Spawning Escapement,1989,62192,D.17
Sockeye,Taku River,Natural Spawning Escapement,1990,52661,D.17
Sockeye,Taku River,Natural Spawning Escapement,1991,77574,D.17
Sockeye,Taku River,Natural Spawning Escapement,1992,68141,D.17
Sockeye,Taku River,Natural Spawning Escapement,1993,58663,D.17
Sockeye,Taku River,Natural Spawning Escapement,1994,60380,D.17
Sockeye,Taku River,Natural Spawning Escapement,1995,70138,D.17
Sockeye,Taku River,Natural Spawning Escapement,1996,53097,D.17
Sockeye,Taku River,Natural Spawning Escapement,1997,46521,D.17
Sockeye,Taku River,Natural Spawning Escapement,1998,44216,D.17
Sockeye,Taku River,Natural Spawning Escapement,1999,62221,D.17
Sockeye,Taku River,Natural Spawning Escapement,2000,52717,D.17
Sockeye,Taku River,Natural Spawning Escapement,2001,81389,D.17
Sockeye,Taku River,Natural Spawning Escapement,2002,61763,D.17
Sockeye,Taku River,Natural Spawning Escapement,2003,99019,D.17
