SPECIES,Stock,Series,Year,Value,TableSource
Sockeye,Taku River,Border Estimate,1984,94591,D.17
Sockeye,Taku River,Border Estimate,1985,90526,D.17
Sockeye,Taku River,Border Estimate,1986,85960,D.17
Sockeye,Taku River,Border Estimate,1987,60396,D.17
Sockeye,Taku River,Border Estimate,1988,59558,D.17
Sockeye,Taku River,Border Estimate,1989,86795,D.17
Sockeye,Taku River,Border Estimate,1990,81226,D.17
Sockeye,Taku River,Border Estimate,1991,112403,D.17
Sockeye,Taku River,Border Estimate,1992,106775,D.17
Sockeye,Taku River,Border Estimate,1993,99585,D.17
Sockeye,Taku River,Border Estimate,1994,96579,D.17
Sockeye,Taku River,Border Estimate,1995,111703,D.17
Sockeye,Taku River,Border Estimate,1996,104454,D.17
Sockeye,Taku River,Border Estimate,1997,78498,D.17
Sockeye,Taku River,Border Estimate,1998,69390,D.17
Sockeye,Taku River,Border Estimate,1999,89570,D.17
Sockeye,Taku River,Border Estimate,2000,89144,D.17
Sockeye,Taku River,Border Estimate,2001,141986,D.17
Sockeye,Taku River,Border Estimate,2002,101377,D.17
Sockeye,Taku River,Border Estimate,2003,144716,D.17
Sockeye,Taku River,Border Estimate,2004,96100,D.17
Sockeye,Taku River,Border Estimate,2005,89988,D.17
Sockeye,Taku River,Border Estimate,2006,122357,D.17
Sockeye,Taku River,Border Estimate,2007,89573,D.17
Sockeye,Taku River,Border Estimate,2008,107062,D.17
Sockeye,Taku River,Border Estimate,2009,99006,D.17
Sockeye,Taku River,Border Estimate,2010,78500,D.17
Sockeye,Taku River,Border Estimate,2011,99285,D.17
Sockeye,Taku River,Border Estimate,2012,112302,D.17
Sockeye,Taku River,Border Estimate,2013,86602,D.17
Sockeye,Taku River,Border Estimate,2014,72590,D.17
Sockeye,Taku River,Border Estimate,2015,124744,D.17
Sockeye,Taku River,Border Estimate,2016,151236,D.17
Sockeye,Taku River,Border Estimate,2017,109234,D.17
Sockeye,Taku River,Border Estimate,2018,102756,D.17
Sockeye,Taku River,Border Estimate,2019,100958,D.17
Sockeye,Taku River,Border Estimate,2020,122491,D.17
Sockeye,Taku River,Border Estimate,2021,174010,D.17
Sockeye,Taku River,Border Estimate,2022,119883,D.17
Sockeye,Taku River,Border Estimate,2023,120336,D.17
