SPECIES,Stock,Series,Year,Value,TableSource
Coho,Alsek River,Klukshu Weir Counts,1976,1572,E.15
Coho,Alsek River,Klukshu Weir Counts,1977,2758,E.15
Coho,Alsek River,Klukshu Weir Counts,1978,30,E.15
Coho,Alsek River,Klukshu Weir Counts,1979,175,E.15
Coho,Alsek River,Klukshu Weir Counts,1980,704,E.15
Coho,Alsek River,Klukshu Weir Counts,1981,1170,E.15
Coho,Alsek River,Klukshu Weir Counts,1982,189,E.15
Coho,Alsek River,Klukshu Weir Counts,1983,303,E.15
Coho,Alsek River,Klukshu Weir Counts,1984,1402,E.15
Coho,Alsek River,Klukshu Weir Counts,1985,350,E.15
Coho,Alsek River,Klukshu Weir Counts,1986,71,E.15
Coho,Alsek River,Klukshu Weir Counts,1987,202,E.15
Coho,Alsek River,Klukshu Weir Counts,1988,2774,E.15
Coho,Alsek River,Klukshu Weir Counts,1989,2219,E.15
Coho,Alsek River,Klukshu Weir Counts,1990,315,E.15
Coho,Alsek River,Klukshu Weir Counts,1991,8540,E.15
Coho,Alsek River,Klukshu Weir Counts,1992,1145,E.15
Coho,Alsek River,Klukshu Weir Counts,1993,788,E.15
Coho,Alsek River,Klukshu Weir Counts,1994,1232,E.15
Coho,Alsek River,Klukshu Weir Counts,1995,3614,E.15
Coho,Alsek River,Klukshu Weir Counts,1996,3465,E.15
Coho,Alsek River,Klukshu Weir Counts,1997,307,E.15
Coho,Alsek River,Klukshu Weir Counts,1998,1961,E.15
Coho,Alsek River,Klukshu Weir Counts,1999,2531,E.15
Coho,Alsek River,Klukshu Weir Counts,2000,4832,E.15
Coho,Alsek River,Klukshu Weir Counts,2001,748,E.15
Coho,Alsek River,Klukshu Weir Counts,2002,9921,E.15
Coho,Alsek River,Klukshu Weir Counts,2003,3689,E.15
Coho,Alsek River,Klukshu Weir Counts,2004,750,E.15
Coho,Alsek River,Klukshu Weir Counts,2005,683,E.15
Coho,Alsek River,Klukshu Weir Counts,2006,420,E.15
Coho,Alsek River,Klukshu Weir Counts,2007,300,E.15
Coho,Alsek River,Klukshu Weir Counts,2008,4275,E.15
