SPECIES,Stock,Series,Year,Value,TableSource
Sockeye,Alsek River,Klukshu - Escapement,1976,7941,E.10
Sockeye,Alsek River,Klukshu - Escapement,1977,15441,E.10
Sockeye,Alsek River,Klukshu - Escapement,1978,19017,E.10
Sockeye,Alsek River,Klukshu - Escapement,1979,7051,E.10
Sockeye,Alsek River,Klukshu - Escapement,1980,10850,E.10
Sockeye,Alsek River,Klukshu - Escapement,1981,18448,E.10
Sockeye,Alsek River,Klukshu - Escapement,1982,28899,E.10
Sockeye,Alsek River,Klukshu - Escapement,1983,18017,E.10
Sockeye,Alsek River,Klukshu - Escapement,1984,10227,E.10
Sockeye,Alsek River,Klukshu - Escapement,1985,17259,E.10
Sockeye,Alsek River,Klukshu - Escapement,1986,22936,E.10
Sockeye,Alsek River,Klukshu - Escapement,1987,9346,E.10
Sockeye,Alsek River,Klukshu - Escapement,1988,7737,E.10
Sockeye,Alsek River,Klukshu - Escapement,1989,21636,E.10
Sockeye,Alsek River,Klukshu - Escapement,1990,24607,E.10
Sockeye,Alsek River,Klukshu - Escapement,1991,17645,E.10
Sockeye,Alsek River,Klukshu - Escapement,1992,18269,E.10
Sockeye,Alsek River,Klukshu - Escapement,1993,14921,E.10
Sockeye,Alsek River,Klukshu - Escapement,1994,13892,E.10
Sockeye,Alsek River,Klukshu - Escapement,1995,19817,E.10
Sockeye,Alsek River,Klukshu - Escapement,1996,7891,E.10
Sockeye,Alsek River,Klukshu - Escapement,1997,11303,E.10
Sockeye,Alsek River,Klukshu - Escapement,1998,13580,E.10
Sockeye,Alsek River,Klukshu - Escapement,1999,5101,E.10
Sockeye,Alsek River,Klukshu - Escapement,2000,5422,E.10
Sockeye,Alsek River,Klukshu - Escapement,2001,9329,E.10
Sockeye,Alsek River,Klukshu - Escapement,2002,23587,E.10
Sockeye,Alsek River,Klukshu - Escapement,2003,32120,E.10
Sockeye,Alsek River,Klukshu - Escapement,2004,13721,E.10
Sockeye,Alsek River,Klukshu - Escapement,2005,3167,E.10
Sockeye,Alsek River,Klukshu - Escapement,2006,12890,E.10
Sockeye,Alsek River,Klukshu - Escapement,2007,8310,E.10
Sockeye,Alsek River,Klukshu - Escapement,2008,2741,E.10
Sockeye,Alsek River,Klukshu - Escapement,2009,5528,E.10
Sockeye,Alsek River,Klukshu - Escapement,2010,18546,E.10
Sockeye,Alsek River,Klukshu - Escapement,2011,20782,E.10
Sockeye,Alsek River,Klukshu - Escapement,2012,17176,E.10
Sockeye,Alsek River,Klukshu - Escapement,2013,3792,E.10
Sockeye,Alsek River,Klukshu - Escapement,2014,12148,E.10
Sockeye,Alsek River,Klukshu - Escapement,2015,11363,E.10
Sockeye,Alsek River,Klukshu - Escapement,2016,7391,E.10
Sockeye,Alsek River,Klukshu - Escapement,2017,3711,E.10
Sockeye,Alsek River,Klukshu - Escapement,2018,7143,E.10
Sockeye,Alsek River,Klukshu - Escapement,2019,18749,E.10
Sockeye,Alsek River,Klukshu - Escapement,2020,4287,E.10
Sockeye,Alsek River,Klukshu - Escapement,2021,25691,E.10
Sockeye,Alsek River,Klukshu - Escapement,2022,29629,E.10
Sockeye,Alsek River,Klukshu - Escapement,2023,13690,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1976,3750,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1977,11350,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1978,7850,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1979,5260,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1980,900,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1981,1900,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1982,4800,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1983,2475,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1984,2500,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1985,1361,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1986,1914,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1987,1158,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1988,1604,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1989,1906,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1990,1388,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1991,1332,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1992,1498,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1993,1819,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1994,1146,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1995,879,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1996,429,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1997,193,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1998,11,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,1999,280,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2000,129,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2001,961,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2002,2124,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2003,2242,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2004,1627,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2005,206,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2006,565,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2007,646,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2008,0,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2009,128,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2010,323,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2011,358,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2012,304,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2013,101,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2014,226,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2015,215,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2016,156,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2017,101,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2018,0,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2019,324,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2020,109,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2021,756,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2022,861,E.10
Sockeye,Alsek River,Klukshu - Harvest Above Weir,2023,440,E.10
Sockeye,Alsek River,Klukshu - Harvest At Weir,1976,NA,E.10
Sockeye,Alsek River,Klukshu - Harvest At Weir,1977,NA,E.10
Sockeye,Alsek River,Klukshu - Harvest At Weir,1978,NA,E.10
