SPECIES,Stock,Series,Year,Value,TableSource
Chinook,Stikine River,Beatty Aerial,1980,122,B.13
Chinook,Stikine River,Beatty Aerial,1981,558,B.13
Chinook,Stikine River,Beatty Aerial,1982,567,B.13
Chinook,Stikine River,Beatty Aerial,1983,83,B.13
Chinook,Stikine River,Beatty Aerial,1984,126,B.13
Chinook,Stikine River,Beatty Aerial,1985,147,B.13
Chinook,Stikine River,Beatty Aerial,1986,183,B.13
Chinook,Stikine River,Beatty Aerial,1987,312,B.13
Chinook,Stikine River,Beatty Aerial,1988,593,B.13
Chinook,Stikine River,Beatty Aerial,1989,362,B.13
Chinook,Stikine River,Beatty Aerial,1990,271,B.13
Chinook,Stikine River,Beatty Aerial,1991,193,B.13
Chinook,Stikine River,Beatty Aerial,1992,362,B.13
Chinook,Stikine River,Beatty Aerial,1993,757,B.13
Chinook,Stikine River,Beatty Aerial,1994,184,B.13
Chinook,Stikine River,Beatty Aerial,1995,152,B.13
Chinook,Stikine River,Beatty Aerial,1996,218,B.13
Chinook,Stikine River,Beatty Aerial,1997,218,B.13
Chinook,Stikine River,Beatty Aerial,1998,125,B.13
Chinook,Stikine River,Beatty Aerial,2014,15,B.13
Chinook,Stikine River,Beatty Aerial,2015,30,B.13
Chinook,Stikine River,Beatty Aerial,2016,25,B.13
Chinook,Stikine River,Beatty Aerial,2018,17,B.13
Chinook,Stikine River,Beatty Aerial,2019,20,B.13
Chinook,Stikine River,Beatty Aerial,2021,11,B.13
Chinook,Stikine River,Beatty Aerial,2022,10,B.13
Chinook,Stikine River,Beatty Aerial,2023,NA,B.13
Chinook,Stikine River,Little Tahltan natural spawners,1985,3114,B.34
Chinook,Stikine River,Little Tahltan natural spawners,1986,2891,B.34
Chinook,Stikine River,Little Tahltan natural spawners,1987,4783,B.34
Chinook,Stikine River,Little Tahltan natural spawners,1988,7292,B.34
Chinook,Stikine River,Little Tahltan natural spawners,1989,4715,B.34
Chinook,Stikine River,Little Tahltan natural spawners,1990,4392,B.34
Chinook,Stikine River,Little Tahltan natural spawners,1991,4506,B.34
Chinook,Stikine River,Little Tahltan natural spawners,1992,6615,B.34
Chinook,Stikine River,Little Tahltan natural spawners,1993,11437,B.34
Chinook,Stikine River,Little Tahltan natural spawners,1994,6373,B.34
Chinook,Stikine River,Little Tahltan natural spawners,1995,3072,B.34
Chinook,Stikine River,Little Tahltan natural spawners,1996,4821,B.34
Chinook,Stikine River,Little Tahltan natural spawners,1997,5547,B.34
Chinook,Stikine River,Little Tahltan natural spawners,1998,4873,B.34
Chinook,Stikine River,Little Tahltan natural spawners,1999,4733,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2000,6631,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2001,9730,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2002,7476,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2003,6492,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2004,16381,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2005,7387,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2006,3860,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2007,562,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2008,2663,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2009,2245,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2010,1057,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2011,1753,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2012,720,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2013,878,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2014,169,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2015,450,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2016,921,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2017,492,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2018,453,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2019,536,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2020,347,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2021,987,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2022,677,B.34
Chinook,Stikine River,Little Tahltan natural spawners,2023,363,B.34
Chinook,Stikine River,Above Border Run,1996,31718,B.12
Chinook,Stikine River,Above Border Run,1997,31509,B.12
Chinook,Stikine River,Above Border Run,1998,28133,B.12
Chinook,Stikine River,Above Border Run,1999,23716,B.12
Chinook,Stikine River,Above Border Run,2000,30301,B.12
Chinook,Stikine River,Above Border Run,2001,66646,B.12
Chinook,Stikine River,Above Border Run,2002,53893,B.12
Chinook,Stikine River,Above Border Run,2003,49881,B.12
Chinook,Stikine River,Above Border Run,2004,52538,B.12
Chinook,Stikine River,Above Border Run,2005,59885,B.12
Chinook,Stikine River,Above Border Run,2006,40181,B.12
Chinook,Stikine River,Above Border Run,2007,25069,B.12
Chinook,Stikine River,Above Border Run,2008,26284,B.12
Chinook,Stikine River,Above Border Run,2009,15118,B.12
Chinook,Stikine River,Above Border Run,2010,18312,B.12
Chinook,Stikine River,Above Border Run,2011,17652,B.12
Chinook,Stikine River,Above Border Run,2012,27542,B.12
Chinook,Stikine River,Above Border Run,2013,20154,B.12
Chinook,Stikine River,Above Border Run,2014,27701,B.12
Chinook,Stikine River,Above Border Run,2015,25855,B.12
Chinook,Stikine River,Above Border Run,2016,13789,B.12
Chinook,Stikine River,Above Border Run,2017,7938,B.12
Chinook,Stikine River,Above Border Run,2018,8768,B.12
Chinook,Stikine River,Above Border Run,2019,14150,B.12
Chinook,Stikine River,Above Border Run,2020,10142,B.12
Chinook,Stikine River,Above Border Run,2021,8558,B.12
Chinook,Stikine River,Above Border Run,2022,9359,B.12
Chinook,Stikine River,Above Border Run,2023,12864,B.12
Chinook,Stikine River,Canadian Harvest,1996,2931,B.12
Chinook,Stikine River,Canadian Harvest,1997,4701,B.12
Chinook,Stikine River,Canadian Harvest,1998,2354,B.12
Chinook,Stikine River,Canadian Harvest,1999,3935,B.12
Chinook,Stikine River,Canadian Harvest,2000,4245,B.12
Chinook,Stikine River,Canadian Harvest,2001,3517,B.12
Chinook,Stikine River,Canadian Harvest,2002,3438,B.12
Chinook,Stikine River,Canadian Harvest,2003,2866,B.12
Chinook,Stikine River,Canadian Harvest,2004,4048,B.12
Chinook,Stikine River,Canadian Harvest,2005,20049,B.12
Chinook,Stikine River,Canadian Harvest,2006,15776,B.12
Chinook,Stikine River,Canadian Harvest,2007,10510,B.12
Chinook,Stikine River,Canadian Harvest,2008,7932,B.12
Chinook,Stikine River,Canadian Harvest,2009,2146,B.12
Chinook,Stikine River,Canadian Harvest,2010,3164,B.12
Chinook,Stikine River,Canadian Harvest,2011,3141,B.12
Chinook,Stikine River,Canadian Harvest,2012,5210,B.12
Chinook,Stikine River,Canadian Harvest,2013,3370,B.12
Chinook,Stikine River,Canadian Harvest,2014,3327,B.12
Chinook,Stikine River,Canadian Harvest,2015,4258,B.12
Chinook,Stikine River,Canadian Harvest,2016,3235,B.12
Chinook,Stikine River,Canadian Harvest,2017,603,B.12
Chinook,Stikine River,Canadian Harvest,2018,165,B.12
Chinook,Stikine River,Canadian Harvest,2019,333,B.12
Chinook,Stikine River,Canadian Harvest,2020,389,B.12
Chinook,Stikine River,Canadian Harvest,2021,182,B.12
Chinook,Stikine River,Canadian Harvest,2022,269,B.12
Chinook,Stikine River,Canadian Harvest,2023,69,B.12
Chinook,Stikine River,Escapement,1996,28787,B.12
Chinook,Stikine River,Escapement,1997,26808,B.12
Chinook,Stikine River,Escapement,1998,25779,B.12
Chinook,Stikine River,Escapement,1999,19781,B.12
Chinook,Stikine River,Escapement,2000,26056,B.12
Chinook,Stikine River,Escapement,2001,63129,B.12
Chinook,Stikine River,Escapement,2002,50455,B.12
Chinook,Stikine River,Escapement,2003,47015,B.12
Chinook,Stikine River,Escapement,2004,48490,B.12
Chinook,Stikine River,Escapement,2005,39836,B.12
Chinook,Stikine River,Escapement,2006,24405,B.12
Chinook,Stikine River,Escapement,2007,14559,B.12
