"drv_regionid","region","region_abbr","species_name","species_abbr","pooledcuid","cuid","primarycu","cu_name_pse","cu_name_dfo","cu_index","cu_type","gen_length","regionid","sppqualifiedid","smuid","smu"
1,"Skeena","SKNA","Lake sockeye","SEL",171,171,TRUE,"Alastair","Alastair","SEL-20-01","Current",6,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",174,174,TRUE,"Ecstall/Lower","Ecstall/Lower","SEL-20-04","Current",5,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",175,175,TRUE,"Johnston","Johnston","SEL-20-05","Current",5,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",176,176,TRUE,"Kitsumkalum","Kitsumkalum","SEL-20-06","Current",5,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",177,177,TRUE,"Lakelse","Lakelse","SEL-20-07","Current",5,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",178,172,FALSE,"Mcdonell/Dennis/Aldrich","Aldrich","SEL-20-02","Current",5,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",178,173,FALSE,"Mcdonell/Dennis/Aldrich","Dennis","SEL-20-03","Current",5,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",178,178,TRUE,"Mcdonell/Dennis/Aldrich","Mcdonell","SEL-20-08","Current",5,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",180,180,TRUE,"Babine/Onerka","Babine","SEL-21-02-EW","Current",5,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",180,243,FALSE,"Babine/Onerka","Onerka","SEL-21-13","Current",5,1,1,NA,NA
1,"Skeena","SKNA","Lake sockeye","SEL",181,181,TRUE,"Bulkley/Maxan","Bulkley","SEL-21-03","Current",5,1,1,36,"Nass Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",181,184,FALSE,"Bulkley/Maxan","Maxan","SEL-21-06","Current",5,1,1,36,"Nass Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",183,183,TRUE,"Gitanyow (Kitwanga/Kitwancool)","Gitanyow","SEL-21-05","Current",5,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",185,179,FALSE,"Morice/Atna","Atna","SEL-21-01","Current",5,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",185,185,TRUE,"Morice/Atna","Morice","SEL-21-07","Current",6,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",186,186,TRUE,"Nilkitkwa","Nilkitkwa","SEL-21-02-LW",NA,5,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",187,187,TRUE,"Stephens","Stephens","SEL-21-09","Current",5,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",189,189,TRUE,"Tahlo/Morrison","Tahlo/Morrison","SEL-21-11","Current",5,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",190,190,TRUE,"Asitika","Asitika","SEL-22-01","Current",5,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",191,191,TRUE,"Azuklotz","Azuklotz","SEL-22-02","Current",5,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",192,192,TRUE,"Bear","Bear","SEL-22-03","Current",5,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",193,193,TRUE,"Damshilgwit","Damshilgwit","SEL-22-04","Current",5,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",194,194,TRUE,"Johanson","Johanson","SEL-22-05","Current",5,1,1,44,"Skeena Sockeye Salmon"
1,"Skeena","SKNA","Lake sockeye","SEL",195,195,TRUE,"Kluatantan","Kluatantan","SEL-22-06","Current",5,1,1,44,"Skeena Sockeye Salmon"
