streamid,Year,SPECIES_QUALIFIED,cu_name_pse,cuid,stream_name_pse,PSE_source,TTC_Species,TTC_STOCK_MATCH,TTC_RECORD_MATCH,TTC_METHOD,TTC_QUALITY,POP_ID,IS_INDICATOR,latitude,longitude,Spn_TTC,Spn_Combined
10128,1920,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1921,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1922,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1923,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1924,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1925,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1926,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1927,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1928,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1929,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1930,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1931,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1932,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1933,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1934,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
10128,1935,CK,Alsek,1004,ALSEK RIVER,TTC,Chinook,Alsek River,Alsek Escapement,Mark-recapture,2,3338,N,59.4439652,-137.9907846,NA,NA
