Year,SPECIES_QUALIFIED,Num_nuSEDS,Num_TTC,Num_Combined
1920,CK,0,0,0
1921,CK,0,0,0
1922,CK,0,0,0
1923,CK,0,0,0
1924,CK,0,0,0
1925,CK,0,0,0
1926,CK,0,0,0
1927,CK,0,0,0
1928,CK,0,0,0
1929,CK,0,0,0
1930,CK,0,0,0
1931,CK,0,0,0
1932,CK,0,0,0
1933,CK,0,0,0
1934,CK,0,0,0
1935,CK,0,0,0
1936,CK,0,0,0
1937,CK,0,0,0
1938,CK,0,0,0
1939,CK,0,0,0
1940,CK,0,0,0
1941,CK,0,0,0
1942,CK,0,0,0
1943,CK,0,0,0
1944,CK,0,0,0
1945,CK,0,0,0
1946,CK,0,0,0
1947,CK,0,0,0
1948,CK,0,0,0
1949,CK,0,0,0
1950,CK,0,0,0
1951,CK,0,0,0
1952,CK,0,0,0
1953,CK,0,0,0
1954,CK,0,0,0
1955,CK,0,0,0
1956,CK,0,0,0
1957,CK,0,0,0
1958,CK,0,0,0
1959,CK,0,0,0
1960,CK,0,0,0
1961,CK,0,0,0
1962,CK,0,0,0
1963,CK,0,0,0
1964,CK,0,0,0
1965,CK,0,0,0
1966,CK,0,0,0
1967,CK,0,0,0
1968,CK,0,0,0
1969,CK,0,0,0
1970,CK,0,0,0
1971,CK,0,0,0
1972,CK,0,0,0
1973,CK,0,0,0
1974,CK,0,0,0
1975,CK,4,3,4
1976,CK,6,6,6
1977,CK,7,6,7
1978,CK,6,6,6
1979,CK,9,6,8
1980,CK,10,7,9
1981,CK,11,8,11
1982,CK,11,8,11
1983,CK,11,8,11
1984,CK,11,10,11
1985,CK,14,11,15
1986,CK,15,12,16
1987,CK,15,12,16
1988,CK,15,12,16
1989,CK,12,11,13
1990,CK,13,11,14
1991,CK,14,12,15
1992,CK,14,12,14
1993,CK,14,12,14
1994,CK,13,12,13
1995,CK,14,11,13
1996,CK,14,12,14
1997,CK,14,11,13
1998,CK,15,13,15
1999,CK,12,12,12
2000,CK,9,12,12
2001,CK,10,12,12
2002,CK,12,12,12
2003,CK,12,12,12
2004,CK,11,11,11
2005,CK,12,11,11
2006,CK,9,11,11
2007,CK,8,10,10
2008,CK,9,11,11
2009,CK,8,8,8
2010,CK,8,8,8
2011,CK,8,8,8
2012,CK,7,7,7
2013,CK,7,7,7
2014,CK,9,8,9
2015,CK,9,8,9
2016,CK,9,8,10
2017,CK,7,7,8
2018,CK,8,8,9
2019,CK,8,8,9
2020,CK,6,7,8
2021,CK,8,8,10
2022,CK,5,8,9
2023,CK,0,7,8
1920,CM,0,0,0
1921,CM,0,0,0
1922,CM,0,0,0
1923,CM,0,0,0
1924,CM,0,0,0
1925,CM,0,0,0
1926,CM,0,0,0
1927,CM,0,0,0
1928,CM,0,0,0
1929,CM,0,0,0
1930,CM,0,0,0
1931,CM,0,0,0
1932,CM,0,0,0
1933,CM,0,0,0
1934,CM,0,0,0
1935,CM,0,0,0
1936,CM,0,0,0
1937,CM,0,0,0
1938,CM,0,0,0
1939,CM,0,0,0
1940,CM,0,0,0
1941,CM,0,0,0
1942,CM,0,0,0
1943,CM,0,0,0
1944,CM,0,0,0
1945,CM,0,0,0
1946,CM,0,0,0
1947,CM,0,0,0
1948,CM,0,0,0
1949,CM,0,0,0
1950,CM,0,0,0
1951,CM,0,0,0
1952,CM,0,0,0
1953,CM,0,0,0
1954,CM,0,0,0
1955,CM,0,0,0
1956,CM,0,0,0
1957,CM,0,0,0
1958,CM,0,0,0
1959,CM,0,0,0
1960,CM,0,0,0
1961,CM,0,0,0
1962,CM,0,0,0
1963,CM,0,0,0
1964,CM,0,0,0
1965,CM,0,0,0
1966,CM,0,0,0
1967,CM,0,0,0
1968,CM,0,0,0
1969,CM,0,0,0
1970,CM,0,0,0
1971,CM,0,0,0
1972,CM,0,0,0
1973,CM,0,0,0
1974,CM,0,0,0
1975,CM,0,0,0
1976,CM,0,0,0
1977,CM,0,0,0
1978,CM,0,0,0
1979,CM,0,0,0
1980,CM,0,0,0
1981,CM,0,0,0
1982,CM,0,0,0
1983,CM,0,0,0
1984,CM,0,1,1
1985,CM,0,1,1
1986,CM,0,1,1
1987,CM,0,1,1
1988,CM,0,1,1
1989,CM,0,1,1
1990,CM,0,1,1
1991,CM,0,1,1
1992,CM,0,1,1
1993,CM,0,1,1
1994,CM,0,1,1
1995,CM,0,1,1
1996,CM,0,1,1
1997,CM,0,1,1
1998,CM,0,1,1
1999,CM,0,1,1
2000,CM,0,1,1
2001,CM,0,1,1
2002,CM,0,1,1
2003,CM,0,1,1
2004,CM,0,1,1
2005,CM,0,1,1
2006,CM,0,1,1
2007,CM,0,1,1
2008,CM,0,1,1
2009,CM,0,1,1
2010,CM,0,1,1
2011,CM,0,1,1
2012,CM,0,1,1
2013,CM,0,1,1
2014,CM,0,1,1
2015,CM,0,1,1
2016,CM,0,1,1
2017,CM,0,1,1
2018,CM,0,1,1
2019,CM,0,1,1
2020,CM,0,1,1
2021,CM,0,1,1
2022,CM,0,1,1
2023,CM,0,1,1
1920,CO,0,0,0
1921,CO,0,0,0
1922,CO,0,0,0
1923,CO,0,0,0
1924,CO,0,0,0
1925,CO,0,0,0
1926,CO,0,0,0
1927,CO,0,0,0
1928,CO,0,0,0
1929,CO,0,0,0
1930,CO,0,0,0
1931,CO,0,0,0
1932,CO,0,0,0
1933,CO,0,0,0
1934,CO,0,0,0
1935,CO,0,0,0
1936,CO,0,0,0
1937,CO,0,0,0
1938,CO,0,0,0
1939,CO,0,0,0
1940,CO,0,0,0
1941,CO,0,0,0
1942,CO,0,0,0
1943,CO,0,0,0
1944,CO,0,0,0
1945,CO,0,0,0
1946,CO,0,0,0
1947,CO,0,0,0
1948,CO,0,0,0
1949,CO,0,0,0
1950,CO,0,0,0
1951,CO,0,0,0
1952,CO,0,0,0
1953,CO,0,0,0
1954,CO,0,0,0
1955,CO,0,0,0
1956,CO,0,0,0
1957,CO,0,0,0
1958,CO,1,0,1
1959,CO,0,0,0
1960,CO,0,0,0
1961,CO,0,0,0
1962,CO,0,0,0
1963,CO,0,0,0
1964,CO,0,0,0
1965,CO,0,0,0
1966,CO,0,0,0
1967,CO,0,0,0
1968,CO,0,0,0
1969,CO,0,0,0
1970,CO,0,0,0
1971,CO,0,0,0
1972,CO,0,0,0
1973,CO,0,0,0
1974,CO,0,0,0
1975,CO,0,0,0
1976,CO,1,0,0
1977,CO,1,0,0
1978,CO,1,0,0
1979,CO,1,0,0
1980,CO,1,0,0
1981,CO,1,0,0
1982,CO,1,0,0
1983,CO,1,0,0
1984,CO,7,5,6
1985,CO,11,7,11
1986,CO,6,0,5
1987,CO,6,0,5
1988,CO,13,6,11
1989,CO,12,8,12
1990,CO,11,6,10
1991,CO,11,7,11
1992,CO,10,7,10
1993,CO,6,3,6
1994,CO,10,7,10
1995,CO,9,7,9
1996,CO,9,7,9
1997,CO,7,7,7
1998,CO,7,7,7
1999,CO,0,7,7
2000,CO,0,4,4
2001,CO,1,7,7
2002,CO,6,7,7
2003,CO,1,1,1
2004,CO,6,7,7
2005,CO,6,7,7
2006,CO,6,7,7
2007,CO,6,7,7
2008,CO,5,5,5
2009,CO,6,7,7
2010,CO,6,7,7
2011,CO,6,7,7
2012,CO,3,3,3
2013,CO,6,7,7
2014,CO,6,7,7
2015,CO,6,7,7
2016,CO,5,7,7
2017,CO,6,7,7
2018,CO,6,7,7
2019,CO,6,7,7
2020,CO,1,2,2
2021,CO,5,7,7
2022,CO,0,7,7
2023,CO,0,7,7
1920,PKE,0,0,0
1921,PKE,0,0,0
1922,PKE,0,0,0
1923,PKE,0,0,0
1924,PKE,0,0,0
1925,PKE,0,0,0
1926,PKE,0,0,0
1927,PKE,0,0,0
1928,PKE,0,0,0
1929,PKE,0,0,0
1930,PKE,0,0,0
1931,PKE,0,0,0
1932,PKE,0,0,0
1933,PKE,0,0,0
