River,FAZ,SPECIES,PSF_CU_NAME,CU_NAME,Species_CU_INDEX,Year,SumMaxEstAll,NumSitesAll,SumMaxEstH,NumSitesH,SumMaxEstHM,NumSitesHM,SumMaxEstL,NumSitesL,SumMaxEstUNK,NumSitesUNK,PercLUNK
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1976,1153,1,NA,NA,NA,NA,NA,NA,1153,1,100
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1977,2894,1,NA,NA,NA,NA,NA,NA,2894,1,100
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1978,2676,1,NA,NA,NA,NA,NA,NA,2676,1,100
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1979,2454,1,NA,NA,NA,NA,NA,NA,2454,1,100
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1980,2487,1,NA,NA,NA,NA,NA,NA,2487,1,100
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1981,1963,1,NA,NA,NA,NA,NA,NA,1963,1,100
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1982,1969,1,NA,NA,NA,NA,NA,NA,1969,1,100
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1983,2237,1,NA,NA,NA,NA,NA,NA,2237,1,100
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1984,2062,4,NA,NA,304,1,NA,NA,1758,3,85.3
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1985,1699,3,NA,NA,232,1,NA,NA,1467,2,86.3
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1986,3663,4,NA,NA,556,1,NA,NA,3107,3,84.8
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1987,3595,4,NA,NA,624,1,NA,NA,2971,3,82.6
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1988,2654,4,NA,NA,437,1,NA,NA,2217,3,83.5
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1989,2481,3,NA,NA,NA,NA,NA,NA,2481,3,100
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1990,2099,3,NA,NA,NA,NA,NA,NA,2099,3,100
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1991,2518,4,NA,NA,121,1,NA,NA,2397,3,95.2
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1992,1421,4,NA,NA,86,1,NA,NA,1335,3,93.9
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1993,3947,4,NA,NA,326,1,NA,NA,3621,3,91.7
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1994,4386,4,NA,NA,349,1,NA,NA,4037,3,92
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1995,5997,4,NA,NA,338,1,NA,NA,5659,3,94.4
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1996,3756,4,NA,NA,132,1,NA,NA,3624,3,96.5
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1997,18378,4,15250,1,15359,2,NA,NA,3019,2,16.4
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1998,6560,5,4967,1,5038,2,NA,NA,1522,3,23.2
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,1999,14753,5,11969,1,12534,3,NA,NA,2219,2,15
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,2000,8595,2,8432,1,8595,2,NA,NA,NA,NA,0
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,2001,13614,3,13071,2,13614,3,NA,NA,NA,NA,0
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,2002,11704,5,11047,2,11704,5,NA,NA,NA,NA,0
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,2003,7084,5,6842,2,7084,5,NA,NA,NA,NA,0
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,2004,10220,4,10090,2,10220,4,NA,NA,NA,NA,0
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,2005,5694,5,5528,2,5694,5,NA,NA,NA,NA,0
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,2006,666,2,568,1,666,2,NA,NA,NA,NA,0
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,2007,716,2,677,1,716,2,NA,NA,NA,NA,0
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,2008,531,2,466,1,531,2,NA,NA,NA,NA,0
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,2009,1571,1,1571,1,1571,1,NA,NA,NA,NA,0
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,2010,2356,1,2356,1,2356,1,NA,NA,NA,NA,0
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,2011,1670,1,1670,1,1670,1,NA,NA,NA,NA,0
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,2012,693,1,693,1,693,1,NA,NA,NA,NA,0
Alsek,Alsek,CK,ALSEK,ALSEK,CK-67,2013,1261,1,1261,1,1261,1,NA,NA,NA,NA,0
