River,FAZ,FAZ_ACRO,PSF_CU_NAME,SPECIES,Species_CU_INDEX,CU_NAME,CU_ACRO,MAZ_ACRO,CU_TYPE,SPECIES_nuSEDS
Alsek,Alsek,Alsek,ALSEK,CK,CK-67,ALSEK,Alsek,AKCst,Current,CK
Alsek,Alsek,Alsek,ALSEK RIVER,CO,CO-45,ALSEK RIVER,ALSEK,AKCst,Current,CO
Alsek,Alsek,Alsek,KLUKSHU,SEL,SEL-30-02,KLUKSHU,Klukshu,AKCst,Current,SEL
Alsek,Alsek,Alsek,NESKATAHIN,SEL,SEL-30-03,NESKATAHIN,Neskatahin,AKCst,Current,SEL
Alsek,Alsek,Alsek,BLANCHARD,SEL,SEL-30-01,NA,NA,NA,NA,NA
Alsek,Alsek,Alsek,ALSEK RIVER,SER,SER-24,ALSEK RIVER,ALSEK,AKCst,Current,SER
Lynn,Lynn,Lynn,LYNN CANAL,CK,CK-66,NA,NA,NA,NA,NA
Lynn,Lynn,Lynn,LYNN CANAL,CM,CM-37,NA,NA,NA,NA,NA
Lynn,Lynn,Lynn,LYNN CANAL,CO,CO-42,NA,NA,NA,NA,NA
Lynn,Lynn,Lynn,CHILKAT RIVER,SER,SER-23,NA,NA,NA,NA,NA
Multiple,Multiple,Multiple,TRANSBOUNDARY FJORDS,PKE,PKE-13,TRANSBOUNDARY FJORDS,TBFj,TBFj,Current,PKE
Multiple,Multiple,Multiple,TRANSBOUNDARY FJORDS,PKO,PKO-19,TRANSBOUNDARY FJORDS,TBFj,TBFj,Current,PKO
Multiple,Multiple,Multiple,NORTHERN TRANSBOUNDARY FJORDS,SER,SER-22,NORTHERN TRANSBOUNDARY FJORDS,TBFj,TBFj,Current,SER
Stikine,Lower Stikine,LStk,STIKINE-EARLY TIMING,CK,CK-60,STIKINE-EARLY TIMING,LSTK-early,TBFj,Current,CK
Stikine,Lower Stikine,LStk,STIKINE-LATE TIMING,CK,CK-61,STIKINE-LATE TIMING,LSTK-late,TBFj,Current,CK
Stikine,Lower Stikine,LStk,LOWER STIKINE,CM,CM-34,NA,NA,NA,NA,NA
Stikine,Lower Stikine,LStk,LOWER STIKINE,CO,CO-39,LOWER STIKINE,LSTK,TBFj,Current,CO
Stikine,Lower Stikine,LStk,CHRISTINA,SEL,SEL-26-01,CHRISTINA,Christina,TBFj,Current,SEL
Stikine,Lower Stikine,LStk,TAHLTAN,SEL,SEL-26-02,TAHLTAN,Tahltan,TBFj,Current,SEL
Stikine,Lower Stikine,LStk,CHUTINE,SEL,SEL-26-03,CHUTINE,Chutine,TBFj,Current,SEL
Taku,Taku,Taku,TAKU-EARLY TIMING,CK,CK-63,TAKU-EARLY TIMING,TAKU-early,TBFj,Current,CK
Taku,Taku,Taku,TAKU-MID TIMING,CK,CK-64,TAKU-MID TIMING,TAKU-mid,TBFj,Current,CK
Taku,Taku,Taku,TAKU-LATE TIMING,CK,CK-65,TAKU-LATE TIMING,TAKU-late,TBFj,Current,CK
Taku,Taku,Taku,TAKU,CM,CM-36,NA,NA,NA,NA,NA
Taku,Taku,Taku,TAKU-LATE TIMING,CO,CO-41,TAKU-LATE TIMING,Taku-late,TBFj,Current,CO
Taku,Taku,Taku,TAKU-EARLY TIMING,CO,CO-991,NA,NA,NA,NA,NA
Taku,Taku,Taku,TAKU-MID TIMING,CO,CO-992,NA,NA,NA,NA,NA
Taku,Taku,Taku,KUTHAI,SEL,SEL-28-01,KUTHAI,Kuthai,TBFj,Current,SEL
Taku,Taku,Taku,LITTLE TRAPPER,SEL,SEL-28-02,LITTLE TRAPPER,Little Trapper,TBFj,Current,SEL
Taku,Taku,Taku,TATSAMENIE,SEL,SEL-28-03,TATSAMENIE,Tatsamenie,TBFj,Current,SEL
Taku,Taku,Taku,KING SALMON LAKE,SEL,SEL-28-05,KING SALMON,King Salmon,TBFj,Current,SEL
Unuk,Unuk,Unuk,UNUK RIVER,CK,CK-59,NA,NA,NA,NA,NA
Unuk,Unuk,Unuk,UNUK RIVER,CM,CM-33,NA,NA,NA,NA,NA
Unuk,Unuk,Unuk,UNUK RIVER,CO,CO-38,NA,NA,NA,NA,NA
Unuk,Unuk,Unuk,BORDER,SEL,SEL-25-01,NA,NA,NA,NA,NA
Whiting,Whiting,Whiting,WHITING RIVER,CK,CK-62,NA,NA,NA,NA,NA
Whiting,Whiting,Whiting,WHITING RIVER,CM,CM-35,NA,NA,NA,NA,NA
Whiting,Whiting,Whiting,WHITING RIVER,CO,CO-40,NA,NA,NA,NA,NA
Whiting,Whiting,Whiting,WHITING,SEL,SEL-999,NA,NA,NA,NA,NA
