CU_NAME,Species_CU_INDEX,DESCR,GEOGRAPHICAL_EXTNT_OF_ESTIMATE,SPECIES,Year,INDEX_YN,ESTIMATE_STAGE,ESTIMATE_CLASSIFICATION,NO_INSPECTIONS_USED,ESTIMATE_METHOD,POP_ID,MAX_ESTIMATE,NATURAL_ADULT_SPAWNERS,NATURAL_JACK_SPAWNERS,NATURAL_SPAWNERS_TOTAL,ADULT_BROODSTOCK_REMOVALS,JACK_BROODSTOCK_REMOVALS,TOTAL_BROODSTOCK_REMOVALS,OTHER_REMOVALS,TOTAL_RETURN_TO_RIVER,UNSPECIFIED_RETURNS,ENUMERATION_METHOD1,ENUMERATION_METHOD2,ENUMERATION_METHOD3,ENUMERATION_METHOD4,ENUMERATION_METHOD5,ENUMERATION_METHOD6,EstQual
TRANSBOUNDARY FJORDS,PKE-13,Nakina River (Alsek/Taku) Pink 1988,NAKINA RIVER,Pink,1988,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45157,347,NA,NA,NA,NA,NA,NA,NA,NA,347,NA,NA,NA,NA,NA,NA,UNK
TRANSBOUNDARY FJORDS,PKE-13,Nakina River (Alsek/Taku) Pink 1986,NAKINA RIVER,Pink,1986,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45157,274,NA,NA,NA,NA,NA,NA,NA,NA,274,NA,NA,NA,NA,NA,NA,UNK
TRANSBOUNDARY FJORDS,PKE-13,Nakina River (Alsek/Taku) Pink 1996,NAKINA RIVER,Pink,1996,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45157,113,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,UNK
TRANSBOUNDARY FJORDS,PKE-13,Nakina River (Alsek/Taku) Pink 1984,NAKINA RIVER,Pink,1984,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45157,3414,NA,NA,NA,NA,NA,NA,NA,NA,3414,NA,NA,NA,NA,NA,NA,UNK
TRANSBOUNDARY FJORDS,PKE-13,Nakina River (Alsek/Taku) Pink 1994,NAKINA RIVER,Pink,1994,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45157,9433,NA,NA,NA,NA,NA,NA,NA,NA,9433,NA,NA,NA,NA,NA,NA,UNK
TRANSBOUNDARY FJORDS,PKE-13,Nakina River (Alsek/Taku) Pink 1998,NAKINA RIVER,Pink,1998,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45157,5000,NA,NA,NA,NA,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,NA,UNK
TRANSBOUNDARY FJORDS,PKE-13,Nakina River (Alsek/Taku) Pink 1990,NAKINA RIVER,Pink,1990,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45157,346,NA,NA,NA,NA,NA,NA,NA,NA,346,NA,NA,NA,NA,NA,NA,UNK
TRANSBOUNDARY FJORDS,PKO-19,Nakina River (Alsek/Taku) Pink 1993,NAKINA RIVER,Pink,1993,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45157,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,UNK
TRANSBOUNDARY FJORDS,PKO-19,Nakina River (Alsek/Taku) Pink 1989,NAKINA RIVER,Pink,1989,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45157,4496,NA,NA,NA,NA,NA,NA,NA,NA,4496,NA,NA,NA,NA,NA,NA,UNK
TRANSBOUNDARY FJORDS,PKO-19,Nakina River (Alsek/Taku) Pink 1997,NAKINA RIVER,Pink,1997,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45157,234,NA,NA,NA,NA,NA,NA,NA,NA,234,NA,NA,NA,NA,NA,NA,UNK
TRANSBOUNDARY FJORDS,PKO-19,Nakina River (Alsek/Taku) Pink 1985,NAKINA RIVER,Pink,1985,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45157,45111,NA,NA,NA,NA,NA,NA,NA,NA,45111,NA,NA,NA,NA,NA,NA,UNK
TRANSBOUNDARY FJORDS,PKO-19,Nakina River (Alsek/Taku) Pink 1991,NAKINA RIVER,Pink,1991,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45157,1337,NA,NA,NA,NA,NA,NA,NA,NA,1337,NA,NA,NA,NA,NA,NA,UNK
TRANSBOUNDARY FJORDS,PKO-19,Nakina River (Alsek/Taku) Pink 1987,NAKINA RIVER,Pink,1987,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,45157,30332,NA,NA,NA,NA,NA,NA,NA,NA,30332,NA,NA,NA,NA,NA,NA,UNK
