Species_CU_INDEX,POP_ID,GEOGRAPHICAL_EXTNT_OF_ESTIMATE,Records_Total,Max_Est,FirstRecord,LastRecord,Records_HQ,Records_MQ,Records_LQ,Records_UNK,River,FAZ,SPECIES,PSF_CU_NAME,CU_NAME,,Used?
CK-67,3338,ALSEK RIVER,9,15250,1997,2005,9,0,0,0,Alsek,Alsek,CK,ALSEK,ALSEK,,1
CK-67,44857,KLUKSHU RIVER,43,5394,1976,2019,19,0,0,24,Alsek,Alsek,CK,ALSEK,ALSEK,,1
CK-67,44858,TAKHANNE RIVER,20,395,1984,2005,0,5,0,15,Alsek,Alsek,CK,ALSEK,ALSEK,,1
CK-67,44859,BLANCHARD RIVER,23,624,1984,2008,0,23,0,0,Alsek,Alsek,CK,ALSEK,ALSEK,,1
CK-67,44860,GOAT CREEK,17,142,1984,2005,0,3,0,14,Alsek,Alsek,CK,ALSEK,ALSEK,,1
SER-24,3339,ALSEK RIVER,4,103507,2002,2005,4,0,0,0,Alsek,Alsek,SER,ALSEK RIVER,ALSEK RIVER,*Reconstruction of aggregate; not a spawner survey,0
SER-24,44854,TATSHENSHINI RIVER,4,1689,1986,1994,0,0,0,4,Alsek,Alsek,SER,ALSEK RIVER,ALSEK RIVER,,1
CO-45,44856,KLUKSHU RIVER,42,9921,1976,2019,19,0,0,23,Alsek,Alsek,CO,ALSEK RIVER,ALSEK RIVER,,1
SER-24,44861,VILLAGE CREEK,28,11485,1986,2018,28,0,0,0,Alsek,Alsek,SER,ALSEK RIVER,ALSEK RIVER,"*Associated with the Nesketehin SEL CU (Kim Tuor, pers. comm.)",1
SEL-30-02,44855,KLUKSHU RIVER,40,34362,1976,2019,16,0,0,24,Alsek,Alsek,SEL,KLUKSHU,KLUKSHU,,1
SEL-30-03,44862,NESKETAHIN LAKE,3,1700,1984,1989,0,0,0,3,Alsek,Alsek,SEL,NESKATAHIN,NESKATAHIN,,1
SER-22,44650,VERRETT SLOUGHS,24,338,1989,2021,0,13,0,11,Multiple,Multiple,SER,NORTHERN TRANSBOUNDARY FJORDS,NORTHERN TRANSBOUNDARY FJORDS,,1
SER-22,45135,TUYA RIVER,8,27664,1995,2007,0,0,0,8,Multiple,Multiple,SER,NORTHERN TRANSBOUNDARY FJORDS,NORTHERN TRANSBOUNDARY FJORDS,,1
SER-22,45137,CRAIG RIVER,10,102,1984,1993,0,0,0,10,Multiple,Multiple,SER,NORTHERN TRANSBOUNDARY FJORDS,NORTHERN TRANSBOUNDARY FJORDS,,1
