SPECIES,Stock,Series,Year,Value,TableSource
Chinook,Alsek River,Klukshu Weir Counts,1976,1278,E.5
Chinook,Alsek River,Klukshu Weir Counts,1977,3144,E.5
Chinook,Alsek River,Klukshu Weir Counts,1978,2976,E.5
Chinook,Alsek River,Klukshu Weir Counts,1979,4404,E.5
Chinook,Alsek River,Klukshu Weir Counts,1980,2637,E.5
Chinook,Alsek River,Klukshu Weir Counts,1981,2113,E.5
Chinook,Alsek River,Klukshu Weir Counts,1982,2369,E.5
Chinook,Alsek River,Klukshu Weir Counts,1983,2537,E.5
Chinook,Alsek River,Klukshu Weir Counts,1984,1672,E.5
Chinook,Alsek River,Klukshu Weir Counts,1985,1458,E.5
Chinook,Alsek River,Klukshu Weir Counts,1986,2709,E.5
Chinook,Alsek River,Klukshu Weir Counts,1987,2616,E.5
Chinook,Alsek River,Klukshu Weir Counts,1988,2037,E.5
Chinook,Alsek River,Klukshu Weir Counts,1989,2456,E.5
Chinook,Alsek River,Klukshu Weir Counts,1990,1915,E.5
Chinook,Alsek River,Klukshu Weir Counts,1991,2489,E.5
Chinook,Alsek River,Klukshu Weir Counts,1992,1367,E.5
Chinook,Alsek River,Klukshu Weir Counts,1993,3302,E.5
Chinook,Alsek River,Klukshu Weir Counts,1994,3727,E.5
Chinook,Alsek River,Klukshu Weir Counts,1995,5678,E.5
Chinook,Alsek River,Klukshu Weir Counts,1996,3599,E.5
Chinook,Alsek River,Klukshu Weir Counts,1997,2989,E.5
Chinook,Alsek River,Klukshu Weir Counts,1998,1364,E.5
Chinook,Alsek River,Klukshu Weir Counts,1999,2193,E.5
Chinook,Alsek River,Klukshu Weir Counts,2000,1365,E.5
Chinook,Alsek River,Klukshu Weir Counts,2001,1825,E.5
Chinook,Alsek River,Klukshu Weir Counts,2002,2240,E.5
Chinook,Alsek River,Klukshu Weir Counts,2003,1737,E.5
Chinook,Alsek River,Klukshu Weir Counts,2004,2525,E.5
Chinook,Alsek River,Klukshu Weir Counts,2005,1070,E.5
Chinook,Alsek River,Klukshu Weir Counts,2006,568,E.5
Chinook,Alsek River,Klukshu Weir Counts,2007,677,E.5
Chinook,Alsek River,Klukshu Weir Counts,2008,466,E.5
Chinook,Alsek River,Klukshu Weir Counts,2009,1571,E.5
Chinook,Alsek River,Klukshu Weir Counts,2010,2358,E.5
Chinook,Alsek River,Klukshu Weir Counts,2011,1671,E.5
Chinook,Alsek River,Klukshu Weir Counts,2012,693,E.5
Chinook,Alsek River,Klukshu Weir Counts,2013,1261,E.5
Chinook,Alsek River,Klukshu Weir Counts,2014,841,E.5
Chinook,Alsek River,Klukshu Weir Counts,2015,1432,E.5
Chinook,Alsek River,Klukshu Weir Counts,2016,651,E.5
Chinook,Alsek River,Klukshu Weir Counts,2017,448,E.5
Chinook,Alsek River,Klukshu Weir Counts,2018,1087,E.5
Chinook,Alsek River,Klukshu Weir Counts,2019,1589,E.5
Chinook,Alsek River,Klukshu Weir Counts,2020,1327,E.5
Chinook,Alsek River,Klukshu Weir Counts,2021,1401,E.5
Chinook,Alsek River,Klukshu Weir Counts,2022,941,E.5
Chinook,Alsek River,Klukshu Weir Counts,2023,1064,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1976,125,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1977,250,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1978,300,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1979,1950,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1980,150,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1981,150,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1982,400,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1983,300,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1984,100,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1985,175,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1986,102,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1987,125,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1988,43,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1989,167,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1990,173,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1991,241,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1992,125,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1993,82,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1994,99,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1995,284,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1996,217,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1997,160,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1998,17,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,1999,25,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2000,44,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2001,87,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2002,106,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2003,76,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2004,80,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2005,107,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2006,2,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2007,1,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2008,0,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2009,52,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2010,99,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2011,58,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2012,0,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2013,34,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2014,9,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2015,44,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2016,5,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2017,5,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2018,0,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2019,16,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2020,11,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2021,21,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2022,7,E.5
Chinook,Alsek River,Harvest above Klukshu Weir,2023,11,E.5
Chinook,Alsek River,Klukshu - Escapement,1976,1153,E.5
Chinook,Alsek River,Klukshu - Escapement,1977,2894,E.5
Chinook,Alsek River,Klukshu - Escapement,1978,2676,E.5
Chinook,Alsek River,Klukshu - Escapement,1979,2454,E.5
Chinook,Alsek River,Klukshu - Escapement,1980,2487,E.5
