region,species_abbr,cuid,year,spawners,CDN_catch,US_catch,run_size,total_exploitation_rate
Transboundary,CK,1004,1976,5282,350,525,6157,0.142
Transboundary,CK,1004,1977,12706,650,1420,14776,0.14
Transboundary,CK,1004,1978,12034,650,2441,15125,0.204
Transboundary,CK,1004,1979,17354,1950,2605,21909,0.208
Transboundary,CK,1004,1980,10718,350,1439,12507,0.143
Transboundary,CK,1004,1981,8587,465,811,9863,0.129
Transboundary,CK,1004,1982,9584,624,619,10827,0.115
Transboundary,CK,1004,1983,10344,612,125,11081,0.067
Transboundary,CK,1004,1984,7213,575,60,7848,0.081
Transboundary,CK,1004,1985,6087,425,229,6741,0.097
Transboundary,CK,1004,1986,11069,267,503,11839,0.065
Transboundary,CK,1004,1987,11276,492,374,12142,0.071
Transboundary,CK,1004,1988,8852,292,236,9380,0.056
Transboundary,CK,1004,1989,10178,506,248,10932,0.069
Transboundary,CK,1004,1990,8775,757,163,9695,0.095
Transboundary,CK,1004,1991,11667,897,141,12705,0.082
Transboundary,CK,1004,1992,5773,251,316,6340,0.089
Transboundary,CK,1004,1993,13917,323,338,14578,0.045
Transboundary,CK,1004,1994,15970,486,865,17321,0.078
Transboundary,CK,1004,1995,24772,1624,721,27117,0.086
Transboundary,CK,1004,1996,15922,1098,832,17852,0.108
Transboundary,CK,1004,1997,12494,530,606,13630,0.083
Transboundary,CK,1004,1998,6833,346,613,7792,0.123
Transboundary,CK,1004,1999,14615,412,526,15553,0.06
Transboundary,CK,1004,2000,7905,142,750,8797,0.101
Transboundary,CK,1004,2001,6705,277,560,7542,0.111
Transboundary,CK,1004,2002,5569,317,760,6646,0.162
Transboundary,CK,1004,2003,5904,228,961,7093,0.168
Transboundary,CK,1004,2004,7083,185,707,7975,0.112
Transboundary,CK,1004,2005,4390,114,740,5244,0.163
Transboundary,CK,1004,2006,2321,19,712,3052,0.24
Transboundary,CK,1004,2007,2827,41,826,3694,0.235
Transboundary,CK,1004,2008,1885,7,627,2519,0.252
Transboundary,CK,1004,2009,6239,125,1080,7444,0.162
Transboundary,CK,1004,2010,9526,294,343,10163,0.063
Transboundary,CK,1004,2011,6850,214,590,7654,0.105
Transboundary,CK,1004,2012,3027,85,824,3936,0.231
Transboundary,CK,1004,2013,4992,72,489,5553,0.101
Transboundary,CK,1004,2014,3357,43,1114,4514,0.256
Transboundary,CK,1004,2015,5697,131,266,6094,0.065
Transboundary,CK,1004,2016,2514,90,143,2747,0.085
Transboundary,CK,1004,2017,1741,51,134,1926,0.096
Transboundary,CK,1004,2018,4348,0,116,4464,0.026
Transboundary,CK,1004,2019,6319,37,99,6455,0.021
Transboundary,CK,1004,2020,5330,22,203,5555,0.041
Transboundary,CK,1004,2021,5562,42,350,5954,0.066
Transboundary,CK,1004,2022,3750,14,124,3888,0.035
Transboundary,CK,1004,2023,4234,22,174,4430,0.044
Transboundary,SEL,1026,1994,32762,35709,46793,115264,0.716
Transboundary,SEL,1026,1995,19640,34972,24406,79018,0.751
Transboundary,SEL,1026,1996,33712,50386,130867,214965,0.843
Transboundary,SEL,1026,1997,9660,20099,30425,60184,0.839
Transboundary,SEL,1026,1998,11577,14744,6658,32979,0.649
Transboundary,SEL,1026,1999,9629,24623,22149,56401,0.829
Transboundary,SEL,1026,2000,4522,7104,4289,15915,0.716
Transboundary,SEL,1026,2001,8916,5042,4747,18705,0.523
Transboundary,SEL,1026,2002,12243,6400,1375,20018,0.388
Transboundary,SEL,1026,2003,30113,19538,8446,58097,0.482
Transboundary,SEL,1026,2004,31708,37342,54091,123142,0.743
Transboundary,SEL,1026,2005,25276,37799,27667,90741,0.721
Transboundary,SEL,1026,2006,27683,34289,24155,86127,0.679
Transboundary,SEL,1026,2007,11993,19464,21890,53347,0.775
Transboundary,SEL,1026,2008,5121,10544,9524,25190,0.797
Transboundary,SEL,1026,2009,25353,22586,26950,74889,0.661
Transboundary,SEL,1026,2010,13106,18062,10575,41743,0.686
Transboundary,SEL,1026,2011,22231,19449,19888,61568,0.639
Transboundary,SEL,1026,2012,7699,6447,3851,17998,0.572
Transboundary,SEL,1026,2013,7802,7935,3895,19633,0.603
Transboundary,SEL,1026,2014,20747,13332,5115,39194,0.471
Transboundary,SEL,1026,2015,16955,18590,7042,42587,0.602
Transboundary,SEL,1026,2016,23544,43659,36711,103913,0.773
Transboundary,SEL,1026,2017,9197,19237,9386,37821,0.757
Transboundary,SEL,1026,2018,8204,9272,2098,19574,0.581
Transboundary,SEL,1026,2019,16467,6175,4059,26701,0.383
Transboundary,SEL,1026,2020,4681,4886,1923,11490,0.593
Transboundary,SEL,1026,2021,15382,1661,1113,18155,0.153
Transboundary,SEL,1026,2022,10819,1512,2618,14949,0.276
Transboundary,SEL,1026,2023,11170,5306,2158,18634,0.401
