species_abbr,cuid,cu_name_pse,year,observed_spawners,estimated_spawners,estimated_spawners_plus
CK,1004,Alsek,1976,1153,5282,NA
CK,1004,Alsek,1977,2894,12706,NA
CK,1004,Alsek,1978,2676,12034,NA
CK,1004,Alsek,1979,2454,17354,NA
CK,1004,Alsek,1980,2487,10718,NA
CK,1004,Alsek,1981,1963,8587,NA
CK,1004,Alsek,1982,1969,9584,NA
CK,1004,Alsek,1983,2237,10344,NA
CK,1004,Alsek,1984,2062,7213,NA
CK,1004,Alsek,1985,1699,6087,NA
CK,1004,Alsek,1986,3663,11069,NA
CK,1004,Alsek,1987,3595,11276,NA
CK,1004,Alsek,1988,2654,8852,NA
CK,1004,Alsek,1989,2481,10178,NA
CK,1004,Alsek,1990,2099,8775,NA
CK,1004,Alsek,1991,2518,11667,NA
CK,1004,Alsek,1992,1421,5773,NA
CK,1004,Alsek,1993,3947,13917,NA
CK,1004,Alsek,1994,4386,15970,NA
CK,1004,Alsek,1995,5992,24772,NA
CK,1004,Alsek,1996,3756,15922,NA
CK,1004,Alsek,1997,3128,12494,NA
CK,1004,Alsek,1998,8426,6833,NA
CK,1004,Alsek,1999,17399,14615,NA
CK,1004,Alsek,2000,9574,7905,NA
CK,1004,Alsek,2001,9294,6705,NA
CK,1004,Alsek,2002,8360,5569,NA
CK,1004,Alsek,2003,7807,5904,NA
CK,1004,Alsek,2004,9658,7083,NA
CK,1004,Alsek,2005,1129,4390,NA
CK,1004,Alsek,2006,701,2321,NA
CK,1004,Alsek,2007,792,2827,NA
CK,1004,Alsek,2008,583,1885,NA
CK,1004,Alsek,2009,1518,6239,NA
CK,1004,Alsek,2010,2259,9526,NA
CK,1004,Alsek,2011,1610,6850,NA
CK,1004,Alsek,2012,693,3027,NA
CK,1004,Alsek,2013,1227,4992,NA
CK,1004,Alsek,2014,832,3357,NA
CK,1004,Alsek,2015,1388,5697,NA
CK,1004,Alsek,2016,646,2514,NA
CK,1004,Alsek,2017,443,1741,NA
CK,1004,Alsek,2018,1087,4348,NA
CK,1004,Alsek,2019,1573,6319,NA
CK,1004,Alsek,2020,1316,5330,NA
CK,1004,Alsek,2021,1384,5562,NA
CK,1004,Alsek,2022,934,3750,NA
CK,1004,Alsek,2023,1053,4234,NA
CK,1005,Lynn Canal,1981,69,NA,NA
CK,1005,Lynn Canal,1982,123,NA,NA
CK,1005,Lynn Canal,1983,126,NA,NA
CK,1005,Lynn Canal,1984,104,NA,NA
CK,1005,Lynn Canal,1985,50,NA,NA
CK,1005,Lynn Canal,1986,9,NA,NA
CK,1005,Lynn Canal,1987,190,NA,NA
CK,1005,Lynn Canal,1988,89,NA,NA
CK,1005,Lynn Canal,1989,231,NA,NA
CK,1005,Lynn Canal,1990,42,NA,NA
CK,1005,Lynn Canal,1991,126,NA,NA
CK,1010,Stikine-Early Timing,1975,275,NA,NA
CK,1010,Stikine-Early Timing,1979,2118,NA,NA
CK,1010,Stikine-Early Timing,1980,1082,NA,NA
CK,1010,Stikine-Early Timing,1981,2410,NA,NA
CK,1010,Stikine-Early Timing,1982,2257,NA,NA
CK,1010,Stikine-Early Timing,1983,536,NA,NA
CK,1010,Stikine-Early Timing,1984,126,NA,NA
CK,1010,Stikine-Early Timing,1985,4751,NA,NA
CK,1010,Stikine-Early Timing,1986,4474,NA,NA
CK,1010,Stikine-Early Timing,1987,6485,NA,NA
CK,1010,Stikine-Early Timing,1988,12269,NA,NA
CK,1010,Stikine-Early Timing,1989,5077,NA,NA
CK,1010,Stikine-Early Timing,1990,6797,NA,NA
CK,1010,Stikine-Early Timing,1991,7144,NA,NA
CK,1010,Stikine-Early Timing,1992,8868,NA,NA
CK,1010,Stikine-Early Timing,1993,14443,NA,NA
CK,1010,Stikine-Early Timing,1994,6557,NA,NA
CK,1010,Stikine-Early Timing,1995,3920,NA,NA
CK,1010,Stikine-Early Timing,1996,5811,NA,NA
CK,1010,Stikine-Early Timing,1997,6025,NA,NA
CK,1010,Stikine-Early Timing,1998,5585,NA,NA
CK,1010,Stikine-Early Timing,1999,4733,NA,NA
CK,1010,Stikine-Early Timing,2000,6631,NA,NA
CK,1010,Stikine-Early Timing,2001,9730,NA,NA
CK,1010,Stikine-Early Timing,2002,7476,NA,NA
CK,1010,Stikine-Early Timing,2003,6492,NA,NA
CK,1010,Stikine-Early Timing,2004,16381,NA,NA
CK,1010,Stikine-Early Timing,2005,7387,NA,NA
CK,1010,Stikine-Early Timing,2006,3860,NA,NA
CK,1010,Stikine-Early Timing,2007,562,NA,NA
CK,1010,Stikine-Early Timing,2008,2663,NA,NA
CK,1010,Stikine-Early Timing,2009,2245,NA,NA
CK,1010,Stikine-Early Timing,2010,1057,NA,NA
CK,1010,Stikine-Early Timing,2011,1753,NA,NA
CK,1010,Stikine-Early Timing,2012,720,NA,NA
CK,1010,Stikine-Early Timing,2013,878,NA,NA
CK,1010,Stikine-Early Timing,2014,698,NA,NA
CK,1010,Stikine-Early Timing,2015,533,NA,NA
CK,1010,Stikine-Early Timing,2016,1041,NA,NA
CK,1010,Stikine-Early Timing,2017,492,NA,NA
CK,1010,Stikine-Early Timing,2018,470,NA,NA
CK,1010,Stikine-Early Timing,2019,556,NA,NA
CK,1010,Stikine-Early Timing,2020,347,NA,NA
CK,1010,Stikine-Early Timing,2021,1083,NA,NA
CK,1010,Stikine-Early Timing,2022,687,NA,NA
CK,1010,Stikine-Early Timing,2023,363,NA,NA
CK,1011,Stikine-Late Timing,1977,290,NA,NA
CK,1011,Stikine-Late Timing,1979,2118,NA,NA
CK,1011,Stikine-Late Timing,1980,1960,NA,NA
CK,1011,Stikine-Late Timing,1981,1852,NA,NA
CK,1011,Stikine-Late Timing,1982,1690,NA,NA
CK,1011,Stikine-Late Timing,1983,453,NA,NA
CK,1011,Stikine-Late Timing,1985,1490,NA,NA
CK,1011,Stikine-Late Timing,1986,1400,NA,NA
CK,1011,Stikine-Late Timing,1987,1390,NA,NA
CK,1011,Stikine-Late Timing,1988,4384,NA,NA
CK,1011,Stikine-Late Timing,1990,2134,NA,NA
CK,1011,Stikine-Late Timing,1991,2445,NA,NA
CK,1011,Stikine-Late Timing,1992,1891,NA,NA
CK,1011,Stikine-Late Timing,1993,4010,NA,NA
CK,1011,Stikine-Late Timing,1994,2422,NA,NA
CK,1011,Stikine-Late Timing,1995,696,NA,NA
CK,1011,Stikine-Late Timing,1996,772,NA,NA
CK,1011,Stikine-Late Timing,1997,260,NA,NA
CK,1011,Stikine-Late Timing,1998,587,NA,NA
CK,1006,Taku-Early Timing,1975,289,NA,NA
CK,1006,Taku-Early Timing,1976,765,NA,NA
CK,1006,Taku-Early Timing,1977,668,NA,NA
CK,1006,Taku-Early Timing,1978,645,NA,NA
CK,1006,Taku-Early Timing,1979,866,NA,NA
CK,1006,Taku-Early Timing,1980,1689,NA,NA
CK,1006,Taku-Early Timing,1981,3277,NA,NA
