region,cuid,cu_name_pse,species_name,locationid,locationname,pointid,latitude,longitude,year,absolute_abundance,enumeration_method
Transboundary,1026,Tahltan,Lake sockeye,11305,Tahltan Lake (natural),2564,57.976099,-131.580988,1991,1220397,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11305,Tahltan Lake (natural),2564,57.976099,-131.580988,1992,750702,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11305,Tahltan Lake (natural),2564,57.976099,-131.580988,1993,2855562,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11305,Tahltan Lake (natural),2564,57.976099,-131.580988,1994,620809,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11305,Tahltan Lake (natural),2564,57.976099,-131.580988,1995,767027,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11305,Tahltan Lake (natural),2564,57.976099,-131.580988,1996,1408020,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11305,Tahltan Lake (natural),2564,57.976099,-131.580988,1997,348685,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11305,Tahltan Lake (natural),2564,57.976099,-131.580988,1998,326420,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11305,Tahltan Lake (natural),2564,57.976099,-131.580988,1999,468488,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11305,Tahltan Lake (natural),2564,57.976099,-131.580988,2000,355618,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11305,Tahltan Lake (natural),2564,57.976099,-131.580988,2001,841268,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11305,Tahltan Lake (natural),2564,57.976099,-131.580988,2002,1042435,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11305,Tahltan Lake (natural),2564,57.976099,-131.580988,2003,979442,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11305,Tahltan Lake (natural),2564,57.976099,-131.580988,2004,825513,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11305,Tahltan Lake (natural),2564,57.976099,-131.580988,2005,943929,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11305,Tahltan Lake (natural),2564,57.976099,-131.580988,2006,1773062,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11305,Tahltan Lake (natural),2564,57.976099,-131.580988,2007,644987,Smolt Weir
Transboundary,1026,Tahltan,Lake sockeye,11305,Tahltan Lake (natural),2564,57.976099,-131.580988,2008,870295,Smolt Weir
