region,species_abbr,cuid,cu_name_pse,year,observed_spawners,estimated_spawners
Transboundary,CK,1004,Alsek,1976,1153,5282
Transboundary,CK,1004,Alsek,1977,2894,12706
Transboundary,CK,1004,Alsek,1978,2676,12034
Transboundary,CK,1004,Alsek,1979,2454,17354
Transboundary,CK,1004,Alsek,1980,2487,10718
Transboundary,CK,1004,Alsek,1981,1963,8587
Transboundary,CK,1004,Alsek,1982,1969,9584
Transboundary,CK,1004,Alsek,1983,2237,10344
Transboundary,CK,1004,Alsek,1984,2062,7213
Transboundary,CK,1004,Alsek,1985,1699,6087
Transboundary,CK,1004,Alsek,1986,3663,11069
Transboundary,CK,1004,Alsek,1987,3595,11276
Transboundary,CK,1004,Alsek,1988,2654,8852
Transboundary,CK,1004,Alsek,1989,2481,10178
Transboundary,CK,1004,Alsek,1990,2099,8775
Transboundary,CK,1004,Alsek,1991,2518,11667
Transboundary,CK,1004,Alsek,1992,1421,5773
Transboundary,CK,1004,Alsek,1993,3947,13917
Transboundary,CK,1004,Alsek,1994,4386,15970
Transboundary,CK,1004,Alsek,1995,5992,24772
Transboundary,CK,1004,Alsek,1996,3756,15922
Transboundary,CK,1004,Alsek,1997,3128,12494
Transboundary,CK,1004,Alsek,1998,8426,6833
Transboundary,CK,1004,Alsek,1999,17399,14615
Transboundary,CK,1004,Alsek,2000,9574,7905
Transboundary,CK,1004,Alsek,2001,9294,6705
Transboundary,CK,1004,Alsek,2002,8360,5569
Transboundary,CK,1004,Alsek,2003,7807,5904
Transboundary,CK,1004,Alsek,2004,9658,7083
Transboundary,CK,1004,Alsek,2005,1129,4390
Transboundary,CK,1004,Alsek,2006,701,2321
Transboundary,CK,1004,Alsek,2007,792,2827
Transboundary,CK,1004,Alsek,2008,583,1885
Transboundary,CK,1004,Alsek,2009,1518,6239
Transboundary,CK,1004,Alsek,2010,2259,9526
Transboundary,CK,1004,Alsek,2011,1610,6850
Transboundary,CK,1004,Alsek,2012,693,3027
Transboundary,CK,1004,Alsek,2013,1227,4992
Transboundary,CK,1004,Alsek,2014,832,3357
Transboundary,CK,1004,Alsek,2015,1388,5697
Transboundary,CK,1004,Alsek,2016,646,2514
Transboundary,CK,1004,Alsek,2017,443,1741
Transboundary,CK,1004,Alsek,2018,1087,4348
Transboundary,CK,1004,Alsek,2019,1573,6319
Transboundary,CK,1004,Alsek,2020,1316,5330
Transboundary,CK,1004,Alsek,2021,1384,5562
Transboundary,CK,1004,Alsek,2022,934,3750
